NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
20,24,24,36.1,24.1,15.4,17.2,74.3,72.5,69.5,72.7,42,43,43,42,41,40,41,98.1,28.2
66,72,71,13.5,17.5,17.1,11.4,8.5,28.8,43.8,19.6,42,43,43,42,41,40,41,98.2,27.9
70,76,74,20.4,18.1,4.9,9.0,4.8,6.7,24.8,42.7,41,42,42,42,41,40,41,98.3,27.9
67,73,71,15.5,22.7,16.5,10.8,3.8,17.5,10.8,71.2,41,41,41,41,41,40,40,98.3,27.9
68,74,72,13.4,27.5,14.7,14.0,24.0,13.2,12.6,48.0,41,41,41,42,41,40,41,98.3,27.6
68,75,73,24.5,22.4,23.3,20.2,28.0,26.7,22.6,25.2,41,42,41,42,41,40,41,98.3,27.6
71,77,75,2.0,11.4,5.8,20.2,28.3,11.7,7.8,59.6,42,42,42,42,41,40,41,98.5,27.6
72,78,76,6.9,17.0,17.0,6.9,12.7,29.4,11.5,94.2,42,42,42,42,42,41,41,98.2,27.6
72,78,76,9.1,4.0,8.7,13.6,13.5,8.7,22.6,32.7,42,42,42,42,42,40,41,98.3,27.4
72,79,77,9.1,18.3,8.7,7.8,17.3,24.0,9.5,100.0,42,42,43,42,42,40,41,98.4,27.4
69,75,73,3.0,27.3,12.1,4.8,4.9,15.0,9.6,9.5,41,41,41,41,41,40,41,98.3,27.4
68,74,72,3.0,31.0,12.4,11.1,13.7,12.6,11.5,85.4,42,42,43,42,41,40,41,98.3,27.3
66,72,70,12.4,34.0,7.8,4.9,26.2,2.9,14.6,39.4,41,41,41,41,41,40,40,98.4,27.3
69,75,73,19.6,24.5,4.0,19.0,21.0,24.8,12.6,7.8,41,41,41,41,41,40,40,98.2,27.6
68,75,73,14.9,5.8,2.0,6.7,34.0,20.2,12.6,3.9,41,42,42,42,41,40,40,98.3,27.6
70,76,74,13.7,16.3,13.6,14.3,59.0,3.9,30.8,6.7,41,41,41,41,41,40,40,98.3,27.5
69,75,73,15.5,13.5,4.8,14.3,94.3,12.7,1.0,28.0,42,42,42,42,42,41,41,98.3,27.5
70,76,74,2.0,10.8,4.0,11.0,35.3,3.9,21.4,31.4,42,42,43,42,41,40,41,98.4,27.4
69,75,73,5.9,22.5,9.5,7.6,10.0,40.2,9.6,26.4,42,43,43,42,42,40,41,98.3,27.5
68,74,72,3.0,10.7,4.8,24.5,20.4,94.2,16.8,15.1,42,42,42,42,42,41,41,98.3,27.5
73,79,77,3.0,1.0,5.8,10.7,26.2,15.5,9.6,6.7,41,41,42,41,42,40,41,98.4,27.5
67,73,71,4.4,7.7,10.4,12.3,14.9,100.0,33.6,12.4,43,44,44,43,43,41,42,98.5,27.5
70,76,74,11.9,15.2,13.5,2.9,31.7,7.8,19.2,3.8,42,42,42,42,42,41,41,98.2,27.6
66,72,70,2.0,5.9,9.7,23.3,32.7,9.6,10.6,72.1,43,43,43,43,42,41,41,98.2,27.6
68,74,72,3.0,4.8,16.3,20.0,9.7,31.7,2.9,60.0,42,42,42,42,42,41,41,98.3,27.6
67,73,72,2.0,8.9,8.7,14.6,20.0,15.5,18.4,15.4,42,42,42,42,42,40,41,98.3,27.6
74,81,79,6.9,2.9,3.8,3.9,66.3,28.8,16.5,11.8,42,43,43,43,43,42,42,98.3,27.5
67,74,72,17.9,13.1,4.9,10.9,57.1,18.8,4.8,15.8,42,42,42,42,42,41,41,98.4,27.5
68,74,72,3.9,2.9,7.8,13.1,7.8,9.8,29.4,3.8,42,42,42,42,42,41,41,98.3,27.5
70,76,74,10.8,4.9,5.9,12.7,12.7,9.6,29.7,7.6,42,42,42,41,41,40,41,98.3,27.5
68,74,72,8.0,1.7,6.2,16.9,43.1,36.1,7.9,12.9,42,43,43,42,42,41,41,98.2,27.5
69,75,73,19.2,4.9,15.8,7.8,76.7,19.4,9.7,28.8,42,42,42,43,42,41,42,98.2,27.7
69,75,73,5.0,7.8,18.1,8.0,11.5,71.2,13.5,25.5,43,44,44,43,42,41,42,98.3,27.7
70,77,75,3.0,2.9,19.4,7.8,23.6,63.5,9.5,30.8,42,42,42,42,42,41,42,98.3,27.7
