NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,8.0,21.4,11.1,12.1,17.2,23.7,14.5,18.1,31,31,31,31,31,31,30,14.8,30.6
0,0,0,3.0,1.9,1.9,3.9,0.0,1.9,4.8,3.9,31,30,30,31,30,30,30,14.8,30.6
0,0,0,2.0,0.0,1.0,0.0,0.0,17.9,15.7,5.8,30,30,31,31,30,30,30,14.9,30.6
0,0,0,4.1,2.0,1.0,6.7,2.9,2.0,4.8,16.7,31,30,30,31,30,30,30,14.5,30.6
0,0,0,5.1,0.0,2.0,2.9,6.9,5.9,5.9,10.6,31,31,31,31,30,30,30,14.4,30.6
0,0,0,3.1,7.8,2.0,6.8,5.9,5.8,6.8,7.6,31,31,31,31,30,30,30,14.3,30.6
0,0,0,11.9,12.5,7.0,9.1,3.9,7.7,7.9,8.0,31,31,31,31,31,30,30,14.4,30.6
0,0,0,7.0,4.9,8.9,2.0,5.8,7.6,5.0,5.8,31,30,30,31,30,30,30,14.4,30.5
0,0,0,5.1,2.0,13.6,6.1,5.0,2.9,2.9,7.9,31,31,31,32,31,30,31,14.4,30.5
0,0,0,5.9,3.0,15.8,10.9,4.9,4.0,12.7,5.9,32,31,31,31,31,31,31,14.4,30.5
0,0,0,11.9,7.1,20.0,8.2,5.9,4.9,10.0,8.7,31,31,31,31,30,30,31,14.6,30.5
0,0,0,10.9,6.9,10.9,13.0,14.4,14.6,16.3,13.6,32,32,33,33,31,31,31,14.7,30.4
0,0,0,11.3,4.9,6.8,10.7,16.3,9.8,15.5,9.0,31,31,31,31,31,30,31,14.8,30.5
0,0,0,5.9,6.9,7.9,2.0,4.7,5.8,4.8,13.3,31,31,32,31,30,30,31,14.8,30.5
0,0,0,9.1,11.7,6.8,7.0,3.8,13.6,10.8,7.8,31,31,31,31,30,31,31,14.8,30.5
0,0,0,9.9,7.0,9.7,7.8,11.5,4.0,10.4,7.9,32,32,32,32,31,31,31,14.9,30.4
0,0,0,14.0,11.7,8.7,7.8,2.0,6.7,7.8,6.9,33,32,32,32,31,31,31,14.9,30.4
0,0,0,6.3,18.6,7.9,6.9,6.9,8.0,10.6,6.9,32,32,32,32,31,31,31,15.0,30.4
0,0,0,6.1,2.0,3.9,5.9,5.9,14.4,7.0,2.0,31,31,31,31,31,31,31,15.1,30.4
0,0,0,42.0,40.2,40.4,41.0,34.3,31.4,35.0,37.9,33,33,33,33,32,32,32,16.1,30.4
0,0,0,28.4,25.5,22.9,19.8,9.7,11.7,9.9,7.7,32,32,32,32,31,31,31,16.0,30.4
0,0,0,6.0,5.8,6.7,11.4,13.3,6.7,10.4,5.7,32,31,31,32,31,31,31,16.0,30.4
0,0,0,10.0,14.2,12.6,9.5,6.8,9.0,2.9,11.8,31,31,31,31,31,31,31,15.8,30.4
0,0,0,5.0,5.8,2.0,5.8,4.9,14.0,1.0,4.8,31,31,31,31,30,30,31,15.8,30.4
0,0,0,9.7,5.8,5.9,5.9,6.8,9.8,1.9,3.9,31,31,31,32,31,31,31,15.8,30.4
0,0,0,8.7,7.7,10.3,9.6,14.6,6.6,4.8,2.0,31,31,31,31,30,30,30,15.8,30.5
0,0,0,3.1,6.8,8.6,7.6,22.5,2.9,4.8,12.4,31,31,31,31,30,30,31,15.7,30.7
0,0,0,9.5,5.8,5.8,8.7,18.3,1.0,3.8,4.8,31,31,31,31,30,30,30,15.6,30.9
0,0,0,9.7,5.8,6.8,5.9,6.9,39.0,1.0,2.9,32,32,33,32,31,30,31,15.4,31.4
0,0,0,8.9,5.0,9.6,12.4,5.7,8.7,35.9,7.7,32,33,33,32,31,31,31,15.1,32.0
0,0,0,7.9,3.9,7.8,4.9,5.8,1.0,20.4,6.8,31,31,31,31,30,31,31,15.0,32.2
0,0,0,11.8,4.9,4.8,6.7,16.3,9.8,4.8,6.7,31,31,31,31,30,30,30,15.0,32.4
0,0,0,9.9,6.7,7.8,3.9,9.6,4.9,18.6,2.9,31,31,31,31,30,30,30,14.8,32.7
0,0,0,7.1,8.6,8.6,8.7,2.0,11.5,17.3,2.9,31,30,31,31,30,30,31,14.8,32.8
0,0,0,6.9,5.9,6.7,5.8,1.0,6.8,18.4,1.0,31,31,31,31,30,30,31,14.6,33.1
0,0,0,6.9,8.7,8.7,9.5,4.8,8.7,14.7,4.9,31,31,32,31,30,30,31,14.5,33.4
0,0,0,10.0,9.7,9.6,8.7,4.8,7.6,19.4,3.8,31,31,31,31,31,30,31,14.4,33.6
0,0,0,3.0,6.7,2.0,10.4,2.9,7.8,3.8,7.8,31,31,31,31,31,30,31,14.3,33.8
0,0,0,12.7,5.8,7.8,8.7,2.9,5.8,2.9,9.7,31,31,31,31,30,30,30,14.3,33.9
0,0,0,7.0,14.4,9.5,9.6,2.9,4.9,4.9,18.3,31,31,31,31,30,30,31,14.2,34.2
0,0,0,54.9,44.9,46.7,49.0,10.9,14.7,14.6,11.8,31,31,31,31,30,31,31,14.1,34.2
0,0,0,28.4,24.8,25.0,27.6,7.8,10.8,12.6,9.5,31,31,31,31,31,30,31,14.1,34.3
