NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
64,74,72,15.8,26.1,18.4,13.3,55.5,48.5,63.4,53.1,38,40,40,39,38,37,37,94.7,23.7
70,78,76,23.3,17.3,14.2,27.8,14.0,23.4,67.6,17.1,38,38,38,38,37,37,37,95.1,23.5
72,80,78,6.1,25.0,20.6,23.1,14.8,10.7,3.9,14.6,37,37,37,37,37,37,37,95.1,23.4
70,78,76,7.2,16.0,9.7,16.3,19.0,12.5,53.9,17.1,38,38,38,38,38,37,37,95.9,23.3
75,82,80,9.9,8.7,5.8,9.8,10.8,18.1,100.0,23.1,39,39,39,39,38,37,38,95.9,23.3
75,82,80,8.9,9.8,10.7,5.8,5.8,10.5,6.7,19.4,37,37,37,37,37,37,37,96.0,23.3
78,85,83,6.9,12.7,10.6,2.9,2.9,24.5,6.8,4.8,37,37,37,37,37,37,37,96.0,23.3
75,82,80,4.9,7.4,5.6,9.3,5.5,9.3,11.9,19.8,37,37,37,37,37,37,37,95.9,23.3
77,84,82,6.1,6.8,4.9,9.7,7.8,6.7,16.2,6.7,37,37,37,37,38,37,37,96.0,23.3
80,87,84,6.4,8.0,4.6,1.8,5.3,14.4,20.2,5.4,37,37,37,37,37,37,37,96.0,23.3
68,77,74,3.0,2.9,16.3,11.5,13.5,13.9,12.5,7.7,37,37,37,37,37,37,37,96.0,23.3
68,76,74,20.7,13.4,4.5,4.6,23.0,16.1,20.4,6.4,37,37,37,37,37,37,37,96.0,23.3
77,84,81,3.9,5.8,7.8,6.9,8.7,16.5,17.3,8.5,37,37,37,37,38,37,37,96.0,23.3
73,79,77,9.3,16.4,6.3,4.5,17.1,3.6,18.9,9.8,37,37,37,37,37,37,37,96.0,23.3
75,82,80,1.0,10.6,4.9,15.7,4.9,11.5,25.0,0.0,37,37,37,37,38,37,37,96.0,23.3
73,79,77,2.0,15.8,1.9,13.6,15.7,7.8,12.5,6.7,37,37,37,37,37,37,37,96.0,23.3
72,79,77,11.7,23.8,11.8,7.8,9.8,4.0,0.0,10.8,37,37,37,37,37,37,37,96.0,23.3
71,78,76,4.0,7.7,11.9,5.8,20.6,12.3,10.5,4.0,37,37,37,37,37,37,37,96.0,23.3
73,79,77,2.0,17.1,9.9,1.0,27.4,8.9,12.1,11.4,37,37,37,37,37,37,37,96.0,23.3
75,81,79,6.9,9.5,9.7,11.7,17.3,21.4,9.6,6.9,37,37,37,37,38,37,37,96.0,23.3
72,78,76,2.0,6.0,9.5,4.8,6.8,13.5,11.5,11.7,37,37,37,38,38,37,37,96.0,23.3
77,84,82,6.9,7.8,3.9,3.9,9.4,27.1,16.8,4.9,37,37,37,37,38,37,37,96.0,23.3
73,80,78,6.9,4.9,2.9,9.1,13.6,6.9,18.4,8.9,38,38,38,38,38,37,37,96.0,23.3
