NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,3.0,4.8,10.1,1.9,10.7,4.9,4.9,2.9,31,31,31,31,31,31,31,14.9,15.6
0,0,0,2.0,0.0,3.0,0.0,1.9,4.9,2.9,3.9,31,31,31,31,30,31,30,14.9,15.6
0,0,0,1.0,1.9,2.9,0.0,0.0,3.9,3.8,4.9,31,30,31,31,31,30,31,14.9,15.6
0,0,0,2.0,1.0,8.0,1.9,0.0,5.8,2.9,5.8,31,31,31,31,31,30,31,14.8,15.6
0,0,0,6.9,0.0,8.0,0.0,0.0,8.8,2.9,3.8,31,31,31,31,30,30,30,14.8,15.6
0,0,0,2.0,0.0,10.0,1.0,0.0,15.4,3.9,5.8,31,31,31,31,30,30,31,14.8,15.6
0,0,0,6.9,1.0,5.9,0.0,0.0,14.4,3.8,2.9,31,31,31,31,30,31,30,14.9,15.6
0,0,0,3.9,0.0,1.9,1.0,0.0,12.5,2.9,4.9,31,30,30,31,30,30,30,14.8,15.6
0,0,0,2.9,5.8,5.9,0.0,0.0,14.6,2.9,3.8,31,31,31,31,30,30,30,14.8,15.6
0,0,0,0.0,3.8,12.7,0.0,3.9,2.9,5.8,4.8,31,30,31,31,30,30,31,14.8,15.6
0,0,0,1.0,1.0,11.8,1.0,5.7,1.9,8.7,0.0,31,31,31,31,30,30,30,14.9,15.6
0,0,0,0.9,0.0,10.9,0.9,0.9,2.8,10.8,5.3,31,30,31,31,30,30,30,14.8,15.6
0,0,0,2.0,0.0,10.0,1.0,1.0,4.9,6.7,0.0,31,31,31,31,30,30,31,14.9,15.6
0,0,0,1.0,1.0,10.9,1.9,0.0,2.9,3.8,5.8,31,31,31,31,30,30,31,14.8,15.6
0,0,0,3.0,1.9,6.2,0.0,0.0,3.9,2.9,4.8,31,31,30,31,30,30,30,14.8,15.6
0,0,0,1.0,1.9,10.8,0.0,0.0,9.8,2.9,3.9,30,30,31,31,30,30,30,14.8,15.6
0,0,0,6.9,0.0,12.7,0.0,0.0,11.7,4.8,2.9,31,31,31,31,30,30,30,14.9,15.6
0,0,0,2.9,1.0,10.1,1.9,0.0,12.5,2.9,5.7,31,31,31,31,30,30,30,14.8,15.6
0,0,0,1.0,0.0,10.0,1.0,0.0,11.7,3.9,7.6,31,30,30,31,30,30,30,14.9,15.6
0,0,0,0.0,1.9,15.4,1.9,4.9,4.9,2.9,0.0,31,30,31,31,30,30,30,14.9,15.6
0,0,0,3.0,0.0,8.2,0.0,5.7,2.9,5.8,0.0,31,30,31,31,30,30,30,14.9,15.6
0,0,0,1.9,0.0,11.0,1.9,0.0,3.8,6.8,0.0,31,31,31,31,30,31,30,14.9,15.6
0,0,0,1.0,1.0,10.0,1.0,0.0,4.8,9.5,0.0,31,30,30,31,30,30,30,14.9,15.6
0,0,0,10.5,2.9,8.2,1.9,2.9,14.6,7.8,0.0,31,30,31,31,30,30,31,14.4,15.6
0,0,0,1.0,0.0,10.9,1.9,1.9,4.8,3.9,5.8,31,30,31,31,30,30,30,14.4,15.6
0,0,0,0.0,0.0,12.7,0.0,4.9,3.9,2.9,0.0,31,30,31,31,30,30,30,14.4,15.6
0,0,0,0.0,0.0,10.9,1.9,4.9,4.8,3.8,1.0,31,30,31,31,30,30,30,14.5,15.6
0,0,0,0.0,0.0,9.3,0.0,3.5,3.5,14.0,0.9,31,31,31,31,30,30,30,14.4,15.6
0,0,0,0.0,0.8,20.4,3.3,1.7,5.0,17.4,3.3,31,30,31,31,30,30,30,14.4,15.6
0,0,0,2.0,0.0,24.0,1.9,0.0,9.6,2.9,6.7,30,30,31,31,30,30,30,14.4,15.6
0,0,0,1.0,0.0,22.4,2.0,1.0,11.8,5.7,5.8,31,30,31,31,30,30,31,14.4,15.7
0,0,0,0.0,0.0,19.6,1.9,0.0,0.0,6.0,4.9,31,30,31,31,30,30,30,14.4,15.7
0,0,0,1.0,0.0,19.4,1.9,0.0,5.9,8.5,1.9,31,31,31,31,30,30,30,14.4,15.7
0,0,0,1.0,1.0,26.5,2.9,1.0,11.7,3.8,3.9,31,30,30,31,30,30,30,14.4,15.7
0,0,0,0.0,0.0,19.8,2.9,0.0,2.9,5.8,2.9,31,31,31,31,30,30,30,14.4,15.7
0,0,0,3.0,3.9,18.2,1.0,0.0,1.0,5.9,4.9,31,31,31,31,30,30,30,14.4,15.7
0,0,0,0.0,5.9,18.2,2.9,1.0,0.0,6.9,1.9,31,30,31,31,30,30,30,14.5,15.7
0,0,0,1.0,3.9,25.7,2.0,1.0,1.0,4.8,6.7,31,30,31,31,30,30,30,14.5,15.7
0,0,0,1.0,1.9,17.9,2.0,0.0,6.7,2.9,5.8,31,30,30,31,30,30,30,14.5,15.7
0,0,0,1.0,1.9,9.9,2.9,1.0,1.9,4.0,5.8,31,30,30,31,30,30,30,14.5,15.7
0,0,0,0.0,0.0,10.0,2.0,0.0,1.0,4.8,7.7,30,31,31,31,30,30,30,14.4,15.7
0,0,0,0.0,1.0,9.9,2.9,1.0,1.9,10.5,6.9,31,30,30,31,30,30,30,14.5,15.7
0,0,0,2.0,0.0,8.2,1.9,5.8,7.8,6.7,5.9,31,31,31,31,30,30,30,14.5,15.7
0,0,0,0.0,0.0,8.1,0.0,4.9,2.9,3.9,3.8,31,30,30,31,30,30,30,14.5,15.7
0,0,0,1.0,0.0,7.1,0.0,1.0,5.8,7.8,2.9,31,30,31,31,30,30,30,14.5,15.7
0,0,0,0.9,0.0,10.2,0.9,0.9,3.6,5.4,14.3,31,30,31,31,30,30,30,14.5,15.7
0,0,0,0.0,1.0,8.2,1.0,1.9,1.0,2.0,9.7,31,31,31,31,30,30,30,14.5,15.7
0,0,0,1.0,1.0,19.8,0.0,1.0,2.9,1.0,8.7,31,30,31,31,30,30,30,14.5,15.7
0,0,0,1.9,1.9,23.7,0.0,5.0,5.8,0.0,2.9,31,31,30,31,30,30,30,14.5,15.7
0,0,0,0.0,0.0,21.1,0.0,7.8,2.9,1.9,4.9,31,30,31,31,30,30,30,14.5,15.7
