NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
17,21,21,40.1,30.9,30.9,27.1,74.1,78.2,71.0,77.1,43,43,43,43,42,41,42,98.8,31.3
56,61,61,14.4,18.5,27.0,11.3,44.5,19.6,20.9,20.4,43,43,43,43,42,41,42,98.6,31.4
71,77,76,11.9,17.6,26.2,14.2,52.9,12.7,27.6,1.9,42,42,42,42,42,41,41,98.6,31.4
65,70,69,18.4,15.0,25.0,4.6,12.7,11.8,31.8,4.6,41,42,42,42,41,40,41,98.6,31.4
68,73,72,13.7,18.4,24.0,7.8,14.6,12.3,31.1,25.2,41,42,42,42,41,40,41,98.5,31.4
63,68,68,3.0,22.8,21.9,34.7,19.8,30.4,7.8,6.7,42,42,43,42,41,40,41,98.7,31.4
67,72,71,7.1,10.7,21.0,15.4,30.8,31.4,32.4,17.6,42,42,42,42,41,40,41,98.8,31.6
71,77,76,12.6,13.2,26.2,4.7,28.7,53.7,18.1,14.8,43,43,44,43,42,41,41,98.6,31.7
66,71,71,12.1,9.8,19.6,15.8,11.4,49.0,19.6,17.6,42,42,42,42,41,40,41,98.6,31.7
68,73,73,5.0,8.9,13.5,17.8,12.6,12.9,29.8,6.7,41,41,41,41,41,40,41,98.5,31.7
69,74,73,3.0,18.4,9.9,16.2,13.2,20.0,73.8,17.1,42,42,42,42,41,40,41,98.6,31.6
68,73,72,6.1,15.7,12.1,4.0,73.3,23.1,11.5,27.4,42,42,42,42,42,41,41,98.6,31.6
69,73,73,3.9,17.5,9.1,5.8,15.2,34.3,10.6,6.7,41,41,42,42,42,40,40,98.6,31.6
66,71,70,5.8,11.9,14.4,6.8,9.0,24.7,6.7,9.0,41,41,41,41,41,40,41,98.6,31.6
72,77,76,3.0,13.7,7.1,14.6,18.6,7.7,12.6,14.4,41,41,41,41,41,40,40,98.6,31.6
69,74,73,9.0,17.5,7.2,10.8,27.6,16.8,4.9,1.9,41,41,41,41,41,40,40,98.6,31.6
67,72,71,9.4,20.4,14.2,13.1,17.6,22.3,56.9,11.0,42,43,43,42,42,41,41,98.5,31.7
66,71,70,7.9,13.2,11.1,19.4,13.7,27.9,19.4,13.3,41,41,41,42,41,40,41,98.6,31.7
71,76,75,5.9,7.7,12.0,11.8,16.0,7.9,10.7,21.4,42,42,42,42,42,40,41,98.5,31.8
68,73,73,16.8,11.7,13.9,11.8,23.1,11.4,18.4,26.9,42,43,43,42,42,40,41,98.5,31.7
67,71,71,24.2,27.6,13.6,12.5,6.7,12.4,71.8,19.6,42,41,42,42,42,40,41,98.5,31.7
66,70,69,13.6,20.6,9.1,14.4,2.9,34.3,15.4,5.8,42,41,41,42,41,40,41,98.5,31.7
66,71,70,10.6,26.0,11.7,5.8,1.0,34.3,9.5,9.7,41,41,41,41,41,40,41,98.5,31.7
68,73,72,6.8,17.0,8.7,21.8,1.9,11.3,32.4,5.8,41,41,41,41,41,40,40,98.5,31.7
67,72,71,3.0,12.6,14.0,7.8,3.9,1.9,34.0,20.2,41,41,41,41,41,40,40,98.6,31.7
68,73,72,14.9,2.0,9.2,14.7,28.6,12.6,75.7,15.7,42,42,42,42,42,40,41,98.6,31.7
68,73,72,5.0,12.5,12.1,16.7,33.0,10.6,9.6,5.8,42,42,42,42,42,40,41,98.6,31.7
68,73,72,3.0,14.3,10.1,13.3,23.8,0.0,17.3,24.5,41,41,42,41,42,40,41,98.6,31.7
69,74,73,2.9,14.9,11.9,19.6,11.7,54.3,3.8,32.7,42,43,43,42,42,41,41,98.5,31.7
68,73,72,6.0,8.7,22.4,23.4,36.0,26.4,3.9,10.5,42,42,42,42,42,41,41,98.6,31.7
73,79,78,1.9,1.9,25.5,13.0,21.6,14.3,17.3,17.6,42,42,42,42,42,41,41,98.6,31.7
71,77,76,2.0,2.0,26.5,8.7,26.2,4.9,22.9,14.6,41,41,42,42,42,40,41,98.6,31.7
72,78,77,12.7,5.4,27.0,6.4,13.3,18.9,9.9,26.3,42,42,42,42,42,41,41,98.6,31.7
67,72,71,7.9,11.7,27.6,16.7,7.8,6.7,27.3,21.6,42,41,42,42,41,41,41,98.4,31.8
66,70,70,2.7,6.3,21.2,12.5,7.2,44.1,24.6,18.6,42,42,42,42,42,41,41,98.5,31.8
70,75,74,3.0,2.9,13.6,9.5,12.5,3.9,26.0,15.4,42,42,42,42,42,40,41,98.5,31.8
70,75,74,10.0,10.5,22.3,12.5,18.4,32.8,8.0,15.0,42,42,42,42,42,41,41,98.5,31.8
70,74,73,8.1,2.0,27.2,16.5,13.5,28.3,5.8,9.6,41,42,42,42,42,41,41,98.5,31.8
72,77,76,6.5,9.1,19.8,2.8,10.0,27.0,14.8,12.7,42,42,42,42,42,41,41,98.5,31.8
73,78,77,3.0,17.3,23.5,11.5,0.0,25.0,4.0,31.7,42,41,41,42,42,41,41,98.5,31.8
61,64,64,8.9,17.6,14.7,15.0,1.0,37.9,11.5,17.6,42,41,41,41,42,40,41,98.6,31.7
67,71,70,20.4,4.9,13.7,24.8,15.4,34.3,2.9,4.9,42,42,41,42,42,41,41,98.5,31.8
67,71,70,4.9,23.1,13.6,16.0,7.6,32.4,65.4,11.7,42,42,43,42,42,41,42,98.5,31.8
66,70,69,2.0,23.3,11.0,22.1,4.9,20.6,0.0,20.4,42,42,41,42,42,40,41,98.5,31.8
71,76,75,3.0,3.8,12.0,11.9,18.4,26.0,9.6,6.7,42,42,42,42,42,41,41,98.5,31.8
70,74,74,2.0,9.6,12.7,14.6,14.4,7.8,29.8,9.9,42,42,42,42,42,41,41,98.5,31.8
65,69,69,1.0,9.6,12.7,7.9,20.0,26.7,18.4,16.5,42,42,42,42,42,40,41,98.5,31.8
72,76,75,4.9,5.8,11.9,8.7,19.6,22.8,4.9,5.8,42,42,42,42,42,41,41,98.5,31.8
75,80,79,3.0,5.8,12.9,7.8,16.0,26.4,11.5,14.0,42,42,42,42,42,41,41,98.6,31.7
75,80,80,5.0,21.4,13.0,5.8,22.1,10.4,41.2,24.5,43,43,44,43,42,41,42,98.5,31.8
65,70,69,17.6,14.6,11.9,16.7,36.9,5.8,13.1,1.9,42,42,42,42,42,40,41,98.5,31.8
68,72,72,6.0,22.5,10.0,12.7,16.2,3.8,1.0,33.3,42,42,42,42,42,41,41,98.5,31.8
66,70,69,11.9,15.5,12.0,17.8,6.9,8.7,1.0,32.0,42,41,41,42,41,41,41,98.5,31.8
