NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
20,25,24,32.3,19.5,16.8,18.0,74.2,61.7,70.2,63.2,41,42,42,41,41,39,40,96.8,22.6
70,80,76,4.9,12.3,7.7,13.1,15.0,5.7,20.0,20.6,40,40,40,40,40,39,40,97.0,22.5
69,79,74,8.8,13.7,4.9,5.9,23.8,2.9,6.9,8.7,40,40,40,40,40,39,39,97.0,22.4
67,75,71,9.5,9.3,15.1,14.0,20.2,12.3,7.5,19.4,40,40,40,40,40,39,39,97.1,22.2
69,78,74,5.0,10.8,14.6,9.6,27.0,17.8,49.0,1.9,41,42,42,41,40,39,40,97.2,22.1
70,80,75,3.0,12.7,2.9,2.9,21.2,17.3,28.6,11.9,40,40,40,40,40,39,40,97.1,22.1
75,85,80,3.0,4.9,1.0,2.0,25.0,15.0,12.3,10.5,40,40,40,40,40,39,40,97.1,22.1
72,82,77,2.0,10.7,11.7,5.7,31.4,13.5,13.5,8.7,40,40,40,40,40,39,39,97.2,22.1
74,83,79,6.9,2.9,5.9,0.0,26.9,20.6,9.8,3.8,40,40,40,40,40,39,40,97.2,22.1
72,82,77,3.0,9.8,9.8,2.9,20.0,15.4,25.5,1.9,40,40,40,40,40,39,40,97.2,22.0
71,80,75,15.7,8.7,1.9,5.0,12.5,10.7,31.4,1.0,40,40,40,40,40,39,40,97.2,22.0
71,81,76,4.0,6.7,13.0,14.6,19.2,7.8,10.9,25.5,40,40,40,40,40,39,40,97.3,21.9
68,77,73,1.0,3.9,7.8,19.0,1.0,10.9,12.6,31.7,40,40,41,40,40,39,40,97.5,21.7
67,76,72,10.7,2.9,5.7,13.7,7.8,4.8,21.6,18.0,40,40,40,40,40,39,40,97.5,21.7
68,78,73,2.7,1.8,9.8,21.2,2.7,26.5,31.3,9.6,40,40,40,40,40,39,39,97.5,21.7
70,79,74,2.0,8.7,7.6,10.6,14.7,9.7,2.9,30.1,40,40,40,40,40,39,39,97.5,21.7
68,78,73,1.0,5.8,1.9,17.3,27.9,5.8,7.8,16.3,40,40,40,40,40,39,39,97.5,21.7
70,79,75,3.0,14.4,1.0,11.9,25.5,7.8,6.7,15.4,40,40,40,40,40,39,39,97.4,21.7
69,79,74,3.0,3.9,3.9,14.0,26.0,6.7,15.2,20.0,40,40,40,40,40,39,40,97.4,21.7
70,80,75,8.7,3.9,10.0,9.9,16.7,10.8,16.2,20.4,41,41,41,41,41,39,40,97.3,21.7
64,72,68,11.8,5.8,12.5,10.6,23.3,19.4,1.9,20.0,40,39,40,40,40,39,39,97.4,21.7
70,80,75,13.9,2.0,7.8,5.8,21.6,27.6,11.7,7.6,41,42,42,41,40,39,40,97.4,21.5
66,75,71,21.4,1.0,4.8,9.7,19.0,26.0,89.3,22.9,41,41,42,41,41,40,40,97.4,21.5
66,75,70,1.0,17.1,9.8,4.9,10.7,37.4,1.0,20.4,41,41,41,41,41,40,40,97.4,21.5
67,76,72,7.8,18.6,2.9,9.7,8.7,33.0,6.8,2.0,40,40,41,41,41,40,40,97.4,21.5
67,77,71,7.8,10.9,4.9,12.5,10.7,11.7,2.9,30.8,41,40,41,41,41,40,40,97.5,21.5
70,78,74,2.9,20.4,4.8,8.7,13.2,18.7,1.9,28.6,40,41,40,41,41,40,40,97.5,21.5
69,78,74,4.0,9.6,6.7,5.7,18.0,4.9,5.8,26.7,41,41,41,41,41,40,40,97.5,21.5
69,79,73,3.0,23.5,2.0,15.7,19.6,21.0,5.8,2.9,40,40,41,41,41,40,40,97.5,21.5
66,74,70,5.9,1.9,8.9,1.0,9.5,26.9,11.4,19.2,41,41,41,41,41,40,40,97.5,21.5
72,81,77,14.9,6.9,2.9,2.9,5.7,24.0,14.4,22.9,41,41,41,41,41,40,40,97.6,21.4
65,74,69,1.9,8.5,4.8,9.3,8.4,30.8,18.3,16.0,41,41,41,41,41,40,40,97.7,21.3
65,74,70,12.7,3.9,11.8,1.9,12.6,26.5,10.9,10.7,41,41,41,41,41,40,40,97.7,21.3
71,80,76,1.0,7.8,11.8,3.0,8.8,27.5,15.4,5.8,41,41,41,41,41,40,40,97.8,21.3
67,76,71,33.7,9.7,11.7,10.7,2.9,18.3,7.7,3.9,41,40,40,41,41,40,40,97.8,21.3
62,71,66,22.8,35.0,18.6,5.8,4.8,2.9,20.4,3.9,40,40,40,41,41,40,40,97.7,21.3
62,70,66,31.2,2.0,4.0,5.0,23.5,9.0,8.7,3.9,40,41,41,41,40,39,40,97.8,21.3
64,73,69,19.6,12.7,5.8,18.3,23.8,5.9,5.7,4.8,41,40,40,41,41,40,40,97.8,21.3
63,72,67,37.1,20.0,2.7,25.6,20.3,1.8,3.5,13.2,40,40,40,41,41,40,40,97.8,21.3
66,75,71,13.9,16.5,4.9,10.7,10.6,23.3,2.9,9.6,40,40,40,40,41,40,40,97.8,21.3
63,71,67,25.5,6.2,3.6,0.0,26.1,16.1,24.8,15.2,41,41,41,41,41,40,40,97.6,21.3
68,77,73,11.8,16.0,7.6,4.9,11.3,16.2,19.2,13.7,41,41,41,41,41,40,40,97.6,21.2
62,71,67,2.9,34.0,11.5,3.8,11.9,22.9,7.8,7.7,41,41,41,40,41,40,40,97.6,21.2
66,75,71,2.0,20.0,8.8,1.0,19.8,10.8,4.9,28.6,41,41,41,41,41,40,40,97.6,21.2
65,73,69,3.0,9.8,5.8,12.5,15.5,8.7,5.8,30.4,41,41,41,41,41,40,40,97.6,21.2
68,77,73,2.0,17.3,7.7,17.6,8.7,8.8,1.0,34.6,41,41,41,42,41,40,40,97.6,21.2
67,76,71,6.8,2.9,4.8,15.7,11.4,15.1,12.6,32.0,41,41,41,41,41,40,40,97.7,21.2
66,75,71,8.8,12.6,9.7,16.8,11.7,1.9,2.9,33.3,41,41,41,41,41,40,40,97.7,21.2
66,75,70,3.0,17.3,8.9,4.8,9.8,1.9,22.3,32.4,41,41,41,41,41,40,40,97.7,21.2
65,73,69,15.8,18.8,3.0,2.0,27.2,5.8,32.4,10.7,42,42,42,42,42,40,41,97.7,21.2
66,75,70,4.0,7.8,8.7,9.5,65.4,23.1,16.2,23.3,42,42,42,42,42,41,41,97.7,21.2
71,79,75,2.0,5.9,2.9,17.6,0.0,15.4,26.2,20.0,42,42,42,42,42,41,41,97.7,21.2
67,75,71,7.8,1.9,8.7,12.6,6.8,22.6,5.8,33.3,41,41,42,41,42,40,41,97.7,21.2
66,74,70,1.0,13.9,1.9,4.9,30.1,14.7,6.7,10.7,42,42,42,42,42,40,41,97.7,21.2
71,80,75,5.0,10.8,7.6,13.0,11.9,13.5,6.9,19.8,41,41,41,42,42,41,41,97.6,21.2
66,74,70,13.9,8.7,2.0,11.7,33.0,16.5,5.8,6.7,41,41,41,41,42,40,41,97.6,21.2
68,76,72,19.6,17.5,3.9,1.0,35.5,5.8,11.7,1.9,41,41,41,41,41,40,41,97.6,21.2
65,74,69,8.8,10.0,4.8,17.8,31.7,1.9,14.7,1.0,41,41,41,41,41,40,41,97.6,21.2
67,75,70,6.1,4.9,2.0,8.9,30.0,13.0,17.6,2.9,41,42,42,42,42,41,41,97.6,21.2
67,75,71,3.9,17.5,5.8,5.8,30.1,18.3,4.8,2.9,41,41,41,41,42,41,41,97.6,21.2
68,77,72,1.0,3.9,17.5,19.6,32.0,9.8,6.8,4.9,41,41,42,42,42,40,41,97.7,21.2
68,77,72,2.7,3.6,15.5,8.0,27.1,8.3,19.8,6.2,42,42,42,41,42,41,41,97.7,21.2
68,77,72,10.1,1.9,11.3,10.6,33.6,15.1,2.9,10.8,42,42,42,42,42,40,41,97.6,21.2
73,82,78,2.7,1.8,7.1,6.2,21.2,13.2,11.6,20.4,42,42,42,42,42,41,41,97.6,21.2
72,82,76,1.0,1.0,3.9,8.8,26.7,18.6,12.7,4.8,42,41,41,41,42,41,41,97.6,21.2
66,74,70,17.3,1.8,8.8,7.3,15.9,9.0,19.8,23.2,42,41,42,41,42,40,41,97.6,21.2
68,76,72,9.7,17.3,8.6,10.5,14.4,20.6,17.6,2.9,41,41,41,42,41,40,41,97.6,21.2
64,72,68,2.8,21.3,5.5,9.3,5.4,11.0,17.4,21.6,42,42,41,42,42,40,41,97.6,21.2
70,80,75,1.0,8.8,6.7,17.6,1.9,21.2,25.5,15.5,41,41,41,41,41,40,41,97.6,21.2
67,76,71,2.0,2.0,6.7,12.5,1.0,29.4,13.7,19.4,41,41,42,42,42,41,41,97.6,21.2
