NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
70,80,78,19.5,23.3,17.8,16.8,58.1,55.3,52.7,57.8,37,37,37,37,37,37,37,95.5,21.0
48,55,53,44.8,11.5,14.8,7.4,15.4,25.9,11.1,14.8,37,37,37,37,37,37,37,95.5,21.0
48,55,53,23.1,29.4,7.7,29.4,37.5,31.2,14.3,0.0,37,37,38,37,37,37,37,95.7,21.0
48,55,53,58.3,7.7,20.0,21.4,7.7,16.7,13.3,35.7,37,37,37,38,37,37,37,95.7,21.0
48,55,53,15.4,13.3,0.0,7.1,13.3,21.4,14.3,42.9,37,37,37,37,37,37,37,95.7,20.9
48,55,53,0.0,21.4,20.0,14.3,7.7,33.3,25.0,33.3,38,37,38,38,37,37,37,95.7,20.9
69,78,76,15.4,21.4,0.0,40.0,40.0,38.9,7.7,40.0,38,37,37,38,37,37,37,95.6,20.9
69,78,76,15.4,14.3,20.0,15.4,14.3,31.3,31.3,30.8,37,37,37,37,37,37,37,95.7,20.9
69,78,76,7.7,8.3,7.1,0.0,42.9,0.0,15.4,28.6,37,38,38,38,38,37,37,95.7,20.9
75,83,81,9.5,25.0,19.1,7.6,22.1,28.8,30.1,42.0,38,38,38,38,37,37,37,96.1,19.9
75,83,81,14.3,20.0,7.1,7.7,33.3,14.3,28.6,35.7,37,38,38,38,37,37,37,96.1,19.9
75,83,81,23.1,23.1,28.6,23.1,26.7,7.7,20.0,35.7,37,37,37,37,37,37,37,96.0,19.8
75,83,81,9.1,35.7,35.7,21.4,31.2,13.3,7.1,25.0,37,37,37,37,37,37,37,96.1,19.7
75,83,81,8.3,0.0,23.1,15.4,38.5,8.3,14.3,15.4,37,38,38,38,38,37,37,96.1,19.7
75,83,81,14.3,0.0,15.4,7.1,33.3,23.1,14.3,7.1,37,37,37,37,37,37,37,96.2,19.7
75,83,81,7.7,35.7,46.7,7.1,43.7,20.0,14.3,71.4,38,38,38,38,37,37,37,96.2,19.7
71,79,77,7.7,16.7,14.3,7.7,28.6,8.3,7.7,100.0,38,38,39,38,38,37,37,96.2,19.7
71,79,77,13.3,21.4,21.4,7.7,30.8,21.4,14.3,100.0,38,38,39,38,38,37,37,96.2,19.7
71,79,77,15.4,21.4,7.7,15.4,40.0,14.3,21.4,100.0,38,38,39,38,38,37,37,96.2,19.7
71,79,77,7.7,14.3,7.1,21.4,33.3,25.0,20.0,100.0,38,39,39,38,38,37,37,96.4,19.7
71,79,77,30.8,13.3,46.7,15.4,7.7,14.3,50.0,57.1,38,38,39,38,38,37,37,96.6,19.7
71,79,77,40.0,30.8,0.0,23.1,14.3,20.0,40.0,20.0,38,38,38,38,38,37,37,96.7,19.7
