NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,18.0,15.1,16.6,17.7,79.6,16.2,19.4,12.7,33,34,34,34,33,32,33,14.2,10.5
0,0,0,24.3,18.3,24.5,12.6,7.8,8.8,6.8,14.3,32,32,32,33,31,31,31,14.1,10.5
0,0,0,37.9,47.1,46.2,31.7,45.1,42.2,37.9,39.2,36,37,37,36,34,33,34,14.1,10.5
0,0,0,43.8,44.3,41.9,39.4,61.5,60.6,63.7,60.6,34,34,34,34,33,33,33,14.1,10.5
0,0,0,17.6,17.3,20.4,14.4,8.8,4.8,14.3,4.9,33,33,33,33,32,32,32,14.1,10.5
0,0,0,22.3,20.2,22.4,22.3,6.8,9.7,4.9,6.8,32,32,32,33,32,31,32,14.1,10.5
0,0,0,14.9,18.1,22.4,19.2,5.8,4.8,12.5,10.6,32,32,32,33,31,31,32,14.1,10.5
0,0,0,18.8,14.7,20.4,15.7,4.9,9.6,15.2,11.4,32,32,32,32,31,31,32,14.0,10.6
0,0,0,12.6,20.4,18.3,19.4,10.8,5.8,8.8,14.6,32,32,32,33,31,31,32,14.0,10.6
0,0,0,16.0,16.5,15.5,17.3,6.9,6.8,10.8,10.8,32,32,32,32,31,31,31,14.0,10.6
0,0,0,21.6,18.4,21.6,18.1,3.9,9.7,12.5,10.6,32,32,32,32,31,31,31,14.0,10.6
0,0,0,22.5,21.4,21.8,19.4,7.8,11.3,5.9,10.5,32,31,31,32,31,31,31,14.0,10.6
0,0,0,16.2,18.4,21.4,18.4,7.0,14.4,2.9,11.7,32,31,32,32,31,31,31,14.0,10.6
0,0,0,27.0,23.1,22.9,25.2,8.7,8.7,8.9,13.3,32,32,32,32,31,31,31,14.5,10.6
0,0,0,19.4,18.4,16.8,15.7,3.9,12.5,12.3,10.6,32,32,32,32,31,30,31,14.0,10.7
0,0,0,28.4,20.4,24.3,20.4,3.9,6.7,11.7,6.8,32,31,31,32,31,31,31,13.9,10.7
0,0,0,21.2,16.5,28.4,18.3,5.8,9.6,13.3,8.8,31,31,32,32,31,31,31,13.9,10.7
0,0,0,13.0,15.5,14.9,22.3,12.5,7.8,7.8,14.3,31,32,32,32,31,31,31,13.9,10.7
0,0,0,19.8,21.4,16.5,20.0,7.7,12.9,8.7,15.5,32,32,32,32,31,31,31,13.8,10.9
