NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
46,52,51,20.1,27.5,25.0,20.9,49.7,50.6,64.2,59.3,40,40,40,40,40,38,39,95.7,47.7
69,77,75,23.3,24.8,22.1,23.6,14.2,11.9,12.3,25.2,39,40,40,40,39,38,38,96.3,47.2
71,78,76,18.2,22.5,26.4,10.8,16.2,14.9,15.4,6.7,39,39,39,39,39,38,38,96.1,46.9
74,82,79,7.9,22.4,7.8,8.6,31.6,14.2,48.5,9.8,40,41,41,40,40,38,39,96.4,46.9
73,82,79,12.0,20.8,16.3,16.7,25.5,14.0,40.4,18.4,39,39,40,40,40,39,39,96.5,46.7
76,83,81,6.9,10.4,11.8,6.8,9.6,8.7,16.7,24.3,39,39,39,39,39,38,39,97.0,46.6
74,81,79,8.1,19.4,16.5,11.7,77.9,3.8,5.8,10.6,40,40,40,40,40,39,39,97.0,46.6
72,80,78,6.9,10.8,15.4,18.1,17.0,7.6,9.8,5.8,39,39,39,39,40,38,39,96.9,46.6
75,82,80,5.9,1.9,15.2,8.0,21.2,8.6,10.3,17.1,39,38,39,39,39,38,38,96.9,46.6
72,78,77,1.0,7.8,25.5,3.0,8.8,16.8,5.8,3.9,39,39,39,39,39,38,38,97.0,46.6
70,77,75,1.0,2.9,30.5,8.7,17.0,21.4,4.9,1.0,38,38,38,39,39,38,38,97.0,46.6
70,76,74,3.6,3.6,9.9,3.6,22.7,9.2,17.0,5.5,39,39,39,39,39,38,38,97.0,46.6
75,82,80,4.9,15.2,8.7,3.8,21.4,1.0,12.5,1.0,39,39,39,39,39,38,38,97.0,46.6
75,82,80,11.5,6.3,3.6,8.9,10.9,17.4,23.2,26.5,40,40,40,40,40,38,39,96.7,46.6
78,86,83,6.0,4.9,5.0,7.6,13.6,15.2,17.3,44.2,39,40,41,40,40,38,39,96.7,46.6
75,82,80,13.6,4.9,11.7,5.8,23.6,5.9,50.5,10.5,40,41,41,40,40,39,39,96.7,46.6
77,84,82,2.0,5.8,13.5,2.0,20.6,7.7,51.4,10.9,40,41,41,41,40,39,40,96.7,46.6
77,84,82,7.1,9.6,2.9,4.9,7.9,15.8,50.0,8.8,40,40,40,40,40,39,39,96.7,46.6
74,81,79,5.0,8.9,3.0,5.8,3.9,22.9,12.5,11.8,40,40,40,40,40,39,39,97.2,46.6
74,81,79,11.0,11.4,19.4,5.0,16.0,2.9,69.2,12.5,40,40,40,40,40,39,40,97.2,46.6
71,78,76,6.0,18.6,22.3,2.9,15.4,2.9,3.9,5.8,40,39,40,40,40,39,39,97.2,46.6
71,78,76,2.0,2.9,20.6,12.3,22.9,5.9,21.0,4.9,40,40,40,40,40,39,39,97.1,46.6
73,79,77,5.0,7.7,9.6,19.6,4.8,2.9,15.4,12.5,40,40,39,40,40,39,39,97.1,46.6
74,81,79,3.0,12.0,11.5,2.0,0.0,7.8,22.8,5.8,40,40,40,40,40,39,39,96.7,46.6
75,82,80,7.1,10.7,2.9,15.7,56.3,7.6,20.6,12.7,40,40,40,40,40,39,40,96.8,46.6
74,81,79,7.9,14.4,17.5,17.1,13.2,2.9,47.1,5.8,40,40,40,40,41,39,40,97.1,46.6
73,80,78,10.9,25.5,3.8,7.7,2.9,7.0,67.3,10.7,41,41,41,41,41,40,40,97.1,46.6
72,79,77,11.0,21.8,1.0,7.1,2.9,8.9,7.7,5.8,40,40,40,40,40,40,40,97.2,46.6
72,79,77,5.9,22.5,7.9,12.6,7.6,13.6,6.7,1.9,40,40,40,40,40,39,39,97.1,46.5
69,75,74,8.3,25.7,1.8,3.5,13.3,11.7,15.5,11.7,40,40,40,40,40,39,40,96.6,46.5
74,81,78,9.1,5.9,3.0,4.9,64.1,8.7,24.5,7.6,40,40,40,41,41,40,40,96.6,46.5
75,82,80,10.7,16.3,5.0,8.7,9.5,6.7,18.9,1.0,40,40,40,41,41,40,40,96.7,46.5
71,78,76,4.0,13.6,4.8,2.9,10.7,13.2,13.5,16.7,40,40,40,40,41,39,40,96.6,46.5
75,82,80,4.6,7.1,6.2,6.2,18.6,7.1,11.5,21.6,40,40,40,41,41,40,40,96.7,46.5
77,84,82,8.8,26.9,17.3,4.8,8.7,14.2,3.8,27.2,41,41,42,41,41,40,41,96.7,46.5
74,81,79,4.7,25.0,4.5,3.6,9.0,17.7,4.5,43.8,40,40,41,40,41,40,40,96.7,46.5
74,81,79,5.0,13.5,17.0,14.6,14.4,6.8,2.0,9.7,41,40,40,41,41,40,40,96.7,46.5
70,77,75,2.8,0.0,28.7,18.7,12.3,10.0,0.9,6.5,41,40,40,41,41,40,40,96.7,46.5
73,79,77,4.9,19.2,9.6,4.9,5.7,17.5,13.3,4.9,41,41,41,41,41,40,40,96.7,46.5
72,79,77,4.0,14.7,25.5,7.6,13.9,5.8,10.7,2.9,40,40,40,40,41,40,40,96.8,46.5
75,82,80,5.9,8.7,2.9,4.8,22.3,16.0,5.8,2.9,41,40,41,41,41,40,40,96.8,46.5
72,79,77,4.9,12.7,26.0,8.7,6.7,3.9,21.2,2.9,40,40,40,40,40,39,40,96.8,46.5
70,76,74,4.6,7.1,5.5,5.5,11.6,18.6,12.4,16.8,41,41,40,41,41,40,40,96.5,46.5
77,84,82,5.0,14.6,9.7,9.7,61.2,4.9,2.0,23.1,41,41,41,41,41,40,40,96.6,46.4
74,81,79,8.0,3.8,10.9,13.7,3.8,5.7,24.5,7.7,41,40,41,41,41,40,40,96.6,46.4
74,81,79,5.0,11.5,4.8,13.5,1.9,7.8,13.2,16.5,41,41,41,41,41,40,40,96.8,46.4
74,80,78,16.5,9.6,10.0,2.7,5.3,12.3,21.9,24.3,41,40,40,40,41,39,40,97.2,46.4
72,79,77,10.0,7.8,11.8,6.8,11.4,5.8,4.8,57.1,42,42,42,42,41,40,41,96.9,46.4
75,83,80,12.3,5.4,10.7,30.5,13.4,12.7,10.7,18.6,41,41,41,41,41,40,40,96.8,46.4
