NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,37.4,39.2,39.9,38.3,55.4,49.5,47.2,85.7,38,40,40,39,37,37,37,13.0,13.5
0,0,0,30.3,26.5,32.0,30.1,24.3,24.3,17.3,24.8,37,37,37,37,37,36,37,13.1,13.5
0,0,0,19.2,20.6,19.8,21.4,14.6,9.7,7.8,10.7,37,37,37,37,36,36,36,13.0,13.5
0,0,0,22.8,30.5,25.7,21.2,24.3,30.8,27.9,28.2,37,37,37,37,36,36,36,13.1,13.5
0,0,0,38.8,38.8,45.2,40.2,58.7,56.9,58.1,51.9,40,41,41,40,37,37,38,13.0,13.5
0,0,0,37.6,37.5,32.4,35.0,49.0,51.0,50.0,48.5,41,44,45,42,38,37,39,13.0,13.5
0,0,0,59.6,55.3,53.3,52.4,88.5,89.2,86.4,82.4,43,45,45,43,39,38,40,13.0,13.5
0,0,0,28.4,26.7,24.5,26.9,45.1,49.5,43.6,50.5,38,39,39,38,37,37,37,13.0,13.5
0,0,0,14.9,25.2,33.7,9.7,21.6,24.5,18.4,20.2,37,38,38,37,37,37,37,12.4,13.5
0,0,0,46.2,43.4,48.5,31.7,43.8,45.6,43.3,41.3,41,44,44,42,38,37,39,12.5,13.5
0,0,0,27.7,26.9,40.6,23.1,47.1,48.6,43.7,54.8,38,38,38,38,37,37,37,12.4,13.5
0,0,0,21.8,21.6,29.7,22.3,32.7,34.3,34.0,38.2,38,38,38,38,37,37,37,12.4,13.6
0,0,0,39.8,19.4,37.5,15.4,34.3,29.1,21.4,28.2,37,37,37,37,37,37,37,12.3,13.7
0,0,0,55.2,49.0,42.7,51.0,75.2,76.7,70.6,73.5,42,45,45,43,39,38,39,12.3,13.7
0,0,0,56.7,53.3,56.9,56.2,92.1,91.1,86.3,87.4,42,44,44,43,40,40,41,12.3,13.7
0,0,0,40.4,31.8,30.2,23.8,35.6,37.7,36.2,39.0,40,40,40,41,38,38,39,12.3,13.9
0,0,0,13.5,13.7,19.6,12.6,10.6,22.3,7.8,6.7,37,37,37,37,37,37,37,12.2,14.1
0,0,0,41.6,38.0,45.0,39.8,39.8,38.2,63.7,38.8,44,47,47,45,40,38,40,12.2,14.4
0,0,0,99.0,99.0,98.1,98.1,99.0,99.0,98.1,97.2,47,49,49,48,43,41,43,12.2,14.4
0,0,0,98.1,99.1,98.1,99.1,100.0,99.0,99.0,99.0,48,50,50,49,44,43,45,12.2,14.4
0,0,0,99.0,100.0,98.1,100.0,99.0,98.1,99.0,99.0,49,52,52,50,46,44,46,12.1,14.4
0,0,0,99.1,99.0,99.0,98.1,99.0,99.0,99.0,99.1,49,52,52,50,46,45,46,12.2,14.4
0,0,0,98.5,97.7,97.7,99.2,99.2,98.5,98.5,98.5,50,53,53,51,47,45,47,12.4,13.7
0,0,0,98.1,98.1,97.1,98.1,97.1,98.1,98.1,98.1,50,53,53,51,48,46,48,12.4,13.7
0,0,0,99.0,99.0,98.1,98.1,99.0,99.0,99.0,99.0,51,54,54,52,48,46,48,12.4,13.7
0,0,0,99.0,98.1,98.1,99.0,99.0,98.1,98.1,98.1,52,54,54,52,49,47,49,12.4,13.7
0,0,0,98.1,98.1,98.1,97.2,99.0,98.1,98.1,97.1,52,55,55,53,49,47,49,12.4,13.7
0,0,0,98.1,98.1,99.0,98.1,99.0,98.1,98.1,99.0,53,56,56,53,49,48,49,12.4,13.7
0,0,0,98.1,99.0,98.0,99.0,99.0,99.0,99.0,98.1,53,56,56,54,49,48,49,12.4,13.7
0,0,0,99.0,98.1,97.2,98.1,98.1,98.1,99.0,99.0,53,56,57,54,49,48,49,12.4,13.7
0,0,0,98.1,99.0,98.1,98.1,99.0,99.0,99.0,98.1,54,57,56,54,49,49,50,12.4,13.7
0,0,0,99.0,99.0,98.1,99.1,99.0,99.0,99.0,99.0,54,56,57,55,50,49,50,12.4,13.7
0,0,0,98.1,99.0,98.1,99.0,99.0,98.1,98.1,98.1,55,57,57,55,50,49,51,12.4,13.7
